jurisdiction,authority,original_filename,normalized_filename,source_url,source_type,download_status,provenance_status,runtime_status,bytes,content_type,notes
Keelung City,Keelung City Government Land Administration Department,07.附件6-市價查估應附文件.pdf,keelung_land_appraisal_required_documents.pdf,https://www.klepb.klcg.gov.tw/wSite/public/Attachment/019/f1628748511570.pdf,OFFICIAL_FORM_TEMPLATE,downloaded,official_confirmed,source_only_not_runtime,299719,application/pdf,official government attachment; source_only
Keelung City,Keelung City Government Land Administration Department,12.附件10-市價查估審查紀錄表複審.pdf,keelung_land_appraisal_secondary_review_form.pdf,https://www.klepb.klcg.gov.tw/wSite/public/Attachment/019/f1628748513945.pdf,OFFICIAL_FORM_TEMPLATE,downloaded,official_confirmed,source_only_not_runtime,111988,application/pdf,official government attachment; source_only
Keelung City,Keelung City Government Land Administration Department,05.附件4-市價查估作業手冊.pdf,keelung_land_appraisal_operations_manual_2015.pdf,https://www.klepb.klcg.gov.tw/wSite/public/Attachment/019/f1628748510648.pdf,OFFICIAL_MANUAL,downloaded,official_confirmed,source_only_not_runtime,3055284,application/pdf,official government attachment; source_only
Keelung City,Keelung City Government Land Administration Department,04.附件3-市價查估辦法.pdf,keelung_land_appraisal_regulations.pdf,https://www.klepb.klcg.gov.tw/wSite/public/Attachment/019/f1628748506648.pdf,OFFICIAL_MANUAL,downloaded,official_confirmed,source_only_not_runtime,144582,application/pdf,official government attachment; source_only
Keelung City,Keelung City Government Land Administration Department,00.標準作業程序修正對照表-土地徵收補償市價查估案件.pdf,keelung_land_appraisal_sop_revision_comparison.pdf,https://www.klepb.klcg.gov.tw/wSite/public/Attachment/019/f1628748505593.pdf,OFFICIAL_MANUAL,downloaded,official_confirmed,source_only_not_runtime,106223,application/pdf,official government attachment; source_only
Keelung City,Keelung City Government Land Administration Department,01.標準作業程序-市價查估.pdf,keelung_land_appraisal_standard_operating_procedure.pdf,https://www.klepb.klcg.gov.tw/wSite/public/Attachment/019/f1628748506068.pdf,OFFICIAL_MANUAL,downloaded,official_confirmed,source_only_not_runtime,138331,application/pdf,official government attachment; source_only
Keelung City,Keelung City Government Land Administration Department,02.附件1-土地徵收條例第30條.pdf,keelung_land_expropriation_act_article_30.pdf,https://www.klepb.klcg.gov.tw/wSite/public/Attachment/019/f1628748506226.pdf,OFFICIAL_MANUAL,downloaded,official_confirmed,source_only_not_runtime,73572,application/pdf,official government attachment; source_only
Keelung City,Keelung City Government Land Administration Department,03.附件2-土徵施行細則第30條31條31-1條.pdf,keelung_land_expropriation_enforcement_rules_extract.pdf,https://www.klepb.klcg.gov.tw/wSite/public/Attachment/019/f1628748506398.pdf,OFFICIAL_MANUAL,downloaded,official_confirmed,source_only_not_runtime,87766,application/pdf,official government attachment; source_only
Keelung City,Keelung City Government Land Administration Department,06.附件5-地價及標準地價評議委員會組織及運作辦法.pdf,keelung_land_price_review_committee_rules.pdf,https://www.klepb.klcg.gov.tw/wSite/public/Attachment/01904/f1688695106505.pdf,OFFICIAL_MANUAL,downloaded,official_confirmed,source_only_not_runtime,279250,application/pdf,official government attachment; source_only
Miaoli County,Miaoli County Government,112-Ⅱ會議紀錄節本-苗栗縣地價及標準地價評議委員會.pdf,miaoli_land_price_review_committee_meeting_2023_02_excerpt.pdf,,OFFICIAL_CASE_ATTACHMENT,downloaded,official_confirmed,source_only_not_runtime,232353,application/pdf,official committee meeting excerpt; source URL not retained
Miaoli County,Ministry of the Interior / hosted with Miaoli appraisal references,直轄市或縣（市）政府辦理土地徵收業務作業費基準.pdf,miaoli_hosted_central_land_expropriation_work_fee_standard_2017.pdf,,OFFICIAL_MANUAL,downloaded,official_confirmed,source_only_not_runtime,93803,application/pdf,central work-fee reference manually downloaded with Miaoli materials; not a Miaoli-specific rule
Miaoli County,Miaoli County Government,苗栗縣政府辦理土地徵收補償市價查估作業收費基準_114修.pdf,miaoli_land_appraisal_fee_standard_2025.pdf,,OFFICIAL_MANUAL,downloaded,official_confirmed,source_only_not_runtime,106765,application/pdf,official local fee standard; source URL not retained
Nantou County,Nantou County Government,南投縣地價及標準地價評議委員會113年第4次會議.pdf,nantou_land_price_review_committee_meeting_2024_04.pdf,https://www.nantou.gov.tw/upload/Tk2XX8LV0mxX2yx5.pdf,OFFICIAL_CASE_ATTACHMENT,downloaded,official_confirmed,source_only_not_runtime,184010,application/pdf,official meeting record; may not contain complete appraisal forms
Nantou County,Nantou County Government,土地徵收市價補償查估.pdf,nantou_land_expropriation_market_value_appraisal_overview.pdf,https://www.nantou.gov.tw/getfile.php?path=upload%2F113151_1.pdf,OFFICIAL_MANUAL,downloaded,official_confirmed,source_only_not_runtime,189410,application/pdf,official overview; provenance confirmed but applicability/version requires manual review
New Taipei City,New Taipei City Government Land Administration Department,封面.pdf,new_taipei_land_appraisal_administrative_relief_case_compilation_cover_2019.pdf,https://www.land.ntpc.gov.tw/cl.aspx?n=10696,OFFICIAL_CASE_ATTACHMENT,downloaded,official_confirmed,source_only_not_runtime,427699,application/pdf,official administrative-relief compilation cover; manual supplemental download; source_only
New Taipei City,New Taipei City Government Land Administration Department,案件選錄摘要一覽表.pdf,new_taipei_land_appraisal_administrative_relief_case_index_2019.pdf,https://www.land.ntpc.gov.tw/cl.aspx?n=10696,OFFICIAL_CASE_ATTACHMENT,downloaded,official_confirmed,source_only_not_runtime,262877,application/pdf,official administrative-relief case summary index; source_only
New Taipei City,New Taipei City Government Land Administration Department,目錄及案例.pdf,new_taipei_land_appraisal_administrative_relief_cases_2019.pdf,https://www.land.ntpc.gov.tw/cl.aspx?n=10696,OFFICIAL_CASE_ATTACHMENT,downloaded,official_confirmed,source_only_not_runtime,4467087,application/pdf,official administrative-relief case compilation; source_only
New Taipei City,New Taipei City Government Land Administration Department,新北市土地徵收補償市價查估書表製作手冊11章(提案表範例).pdf,new_taipei_land_appraisal_form_manual_chapter_11_proposal_example.pdf,https://www-ws.land.ntpc.gov.tw/001/upload/oldFile/userfiles/FE/file/17_%E6%96%B0%E5%8C%97%E5%B8%82%E5%9C%9F%E5%9C%B0%E5%BE%B5%E6%94%B6%E8%A3%9C%E5%84%9F%E5%B8%82%E5%83%B9%E6%9F%A5%E4%BC%B0%E6%9B%B8%E8%A1%A8%E8%A3%BD%E4%BD%9C%E6%89%8B%E5%86%8A11%E7%AB%A0%28%E6%8F%90%E6%A1%88%E8%A1%A8%E7%AF%84%E4%BE%8B%29.pdf,OFFICIAL_FILLED_EXAMPLE,downloaded,official_confirmed,source_only_not_runtime,2902749,application/pdf,official chapter and proposal example; source_only; TypeError: fetch failed; manually supplied supplemental download
New Taipei City,New Taipei City Government Land Administration Department,新北市土地徵收補償市價查估書表製作手冊-目錄及1-3章.pdf,new_taipei_land_appraisal_form_manual_chapters_01_03.pdf,https://www.land.ntpc.gov.tw/cl.aspx?n=10684,OFFICIAL_MANUAL,downloaded,official_confirmed,source_only_not_runtime,10240177,application/pdf,manual supplemental download; source_only
New Taipei City,New Taipei City Government Land Administration Department,新北市土地徵收補償市價查估書表製作手冊4-10章.pdf,new_taipei_land_appraisal_form_manual_chapters_04_10.pdf,https://www.land.ntpc.gov.tw/cl.aspx?n=10684,OFFICIAL_MANUAL,downloaded,official_confirmed,source_only_not_runtime,8598389,application/pdf,manual supplemental download; source_only
New Taipei City,New Taipei City Government Land Administration Department,新北市土地徵收補償市價查估書表製作手冊_封面.pdf,new_taipei_land_appraisal_form_manual_cover.pdf,https://www.land.ntpc.gov.tw/cl.aspx?n=10684,OFFICIAL_MANUAL,downloaded,official_confirmed,source_only_not_runtime,1943735,application/pdf,manual supplemental download; source_only
Tainan City,Tainan City Government Land Administration Bureau,安南所(104年二版).rar,tainan_annan_land_office_regional_individual_factor_criteria_2015.rar,https://land.tainan.gov.tw/news.aspx?PageSize=20&_CSN=416&n=31613&page=4&sms=22486,OFFICIAL_EVALUATION_CRITERIA,downloaded,official_confirmed,source_only_not_runtime,973067,application/vnd.rar,official local evaluation-criteria archive; source_only; archive contents require manual legal/version review before rule extraction
Tainan City,Tainan City Government Land Administration Bureau,白河所(104年二版).rar,tainan_baihe_land_office_regional_individual_factor_criteria_2015.rar,https://land.tainan.gov.tw/news.aspx?PageSize=20&_CSN=416&n=31613&page=4&sms=22486,OFFICIAL_EVALUATION_CRITERIA,downloaded,official_confirmed,source_only_not_runtime,5429509,application/vnd.rar,official local evaluation-criteria archive; source_only; archive contents require manual legal/version review before rule extraction
Tainan City,Tainan City Government Land Administration Bureau,東南所(104年二版).rar,tainan_dongnan_land_office_regional_individual_factor_criteria_2015.rar,https://land.tainan.gov.tw/news.aspx?PageSize=20&_CSN=416&n=31613&page=4&sms=22486,OFFICIAL_EVALUATION_CRITERIA,downloaded,official_confirmed,source_only_not_runtime,3565674,application/vnd.rar,official local evaluation-criteria archive; source_only; archive contents require manual legal/version review before rule extraction
Tainan City,Tainan City Government Land Administration Bureau,歸仁所(104年二版).rar,tainan_guiren_land_office_regional_individual_factor_criteria_2015.rar,https://land.tainan.gov.tw/news.aspx?PageSize=20&_CSN=416&n=31613&page=4&sms=22486,OFFICIAL_EVALUATION_CRITERIA,downloaded,official_confirmed,source_only_not_runtime,7441684,application/vnd.rar,official local evaluation-criteria archive; source_only; archive contents require manual legal/version review before rule extraction
Tainan City,Tainan City Government Land Administration Bureau,佳里所(104年二版).rar,tainan_jiali_land_office_regional_individual_factor_criteria_2015.rar,https://land.tainan.gov.tw/news.aspx?PageSize=20&_CSN=416&n=31613&page=4&sms=22486,OFFICIAL_EVALUATION_CRITERIA,downloaded,official_confirmed,source_only_not_runtime,10782475,application/vnd.rar,official local evaluation-criteria archive; source_only; archive contents require manual legal/version review before rule extraction
Tainan City,Tainan City Government Land Administration Bureau,麻豆所(104年二版).rar,tainan_madou_land_office_regional_individual_factor_criteria_2015.rar,https://land.tainan.gov.tw/news.aspx?PageSize=20&_CSN=416&n=31613&page=4&sms=22486,OFFICIAL_EVALUATION_CRITERIA,downloaded,official_confirmed,source_only_not_runtime,9017678,application/vnd.rar,official local evaluation-criteria archive; source_only; archive contents require manual legal/version review before rule extraction
Tainan City,Tainan City Government Land Administration Bureau,臺南所(104年二版).rar,tainan_tainan_land_office_regional_individual_factor_criteria_2015.rar,https://land.tainan.gov.tw/news.aspx?PageSize=20&_CSN=416&n=31613&page=4&sms=22486,OFFICIAL_EVALUATION_CRITERIA,downloaded,official_confirmed,source_only_not_runtime,10830656,application/vnd.rar,official local evaluation-criteria archive; source_only; archive contents require manual legal/version review before rule extraction
Tainan City,Tainan City Government Land Administration Bureau,新化所(104年二版).rar,tainan_xinhua_land_office_regional_individual_factor_criteria_2015.rar,https://land.tainan.gov.tw/news.aspx?PageSize=20&_CSN=416&n=31613&page=4&sms=22486,OFFICIAL_EVALUATION_CRITERIA,downloaded,official_confirmed,source_only_not_runtime,7910603,application/vnd.rar,official local evaluation-criteria archive; source_only; archive contents require manual legal/version review before rule extraction
Tainan City,Tainan City Government Land Administration Bureau,鹽水所(108年更新版).7z,tainan_yanshui_land_office_regional_individual_factor_criteria_2019.7z,https://land.tainan.gov.tw/news.aspx?PageSize=20&_CSN=416&n=31613&page=4&sms=22486,OFFICIAL_EVALUATION_CRITERIA,downloaded,official_confirmed,source_only_not_runtime,43436224,application/x-7z-compressed,official local evaluation-criteria archive; source_only; archive contents require manual legal/version review before rule extraction
Tainan City,Tainan City Government Land Administration Bureau,永康區(104年二版).rar,tainan_yongkang_regional_individual_factor_criteria_2015.rar,https://land.tainan.gov.tw/news.aspx?PageSize=20&_CSN=416&n=31613&page=4&sms=22486,OFFICIAL_EVALUATION_CRITERIA,downloaded,official_confirmed,source_only_not_runtime,1888451,application/vnd.rar,official local evaluation-criteria archive; source_only; archive contents require manual legal/version review before rule extraction
Tainan City,Tainan City Government Land Administration Bureau,玉井所(104年二版).rar,tainan_yujing_land_office_regional_individual_factor_criteria_2015.rar,https://land.tainan.gov.tw/news.aspx?PageSize=20&_CSN=416&n=31613&page=4&sms=22486,OFFICIAL_EVALUATION_CRITERIA,downloaded,official_confirmed,source_only_not_runtime,6973450,application/vnd.rar,official local evaluation-criteria archive; source_only; archive contents require manual legal/version review before rule extraction
Tainan City,Tainan City Government Land Administration Bureau,02.簡報範例_(非公共設施保留地)-1110225.pdf,tainan_land_appraisal_result_presentation_example_non_public_facility_reserve_land_2022.pdf,,OFFICIAL_FILLED_EXAMPLE,downloaded,official_confirmed,source_only_not_runtime,2017602,application/pdf,official appraisal submission bundle / presentation example; source URL not retained in supplemental archive; source_only
Tainan City,Tainan City Government Land Administration Bureau,02.簡報範例_(非公共設施保留地)-1110225.pptx,tainan_land_appraisal_result_presentation_example_non_public_facility_reserve_land_2022.pptx,,OFFICIAL_FILLED_EXAMPLE,downloaded,official_confirmed,source_only_not_runtime,20083370,application/vnd.openxmlformats-officedocument.presentationml.presentation,official appraisal submission bundle / presentation example; source URL not retained in supplemental archive; source_only
Tainan City,Tainan City Government Land Administration Bureau,02.簡報範例_(公共設施保留地)-1110225.pdf,tainan_land_appraisal_result_presentation_example_public_facility_reserve_land_2022.pdf,,OFFICIAL_FILLED_EXAMPLE,downloaded,official_confirmed,source_only_not_runtime,2809424,application/pdf,official appraisal submission bundle / presentation example; source URL not retained in supplemental archive; source_only
Tainan City,Tainan City Government Land Administration Bureau,02.簡報範例_(公共設施保留地)-1110225.pptx,tainan_land_appraisal_result_presentation_example_public_facility_reserve_land_2022.pptx,,OFFICIAL_FILLED_EXAMPLE,downloaded,official_confirmed,source_only_not_runtime,25151017,application/vnd.openxmlformats-officedocument.presentationml.presentation,official appraisal submission bundle / presentation example; source URL not retained in supplemental archive; source_only
Tainan City,Tainan City Government Land Administration Bureau,增修紀錄.txt,tainan_land_appraisal_submission_bundle_revision_log_2022.txt,,OFFICIAL_FORM_TEMPLATE,downloaded,official_confirmed,source_only_not_runtime,1377,text/plain,official appraisal submission bundle / presentation example; source URL not retained in supplemental archive; source_only
Tainan City,Tainan City Government Land Administration Bureau,01.臺南市土地徵收補償市價查估資料報送檢查表及應檢附表單(1110128).xlsx,tainan_land_appraisal_submission_checklist_and_forms_2022.xlsx,,OFFICIAL_FORM_TEMPLATE,downloaded,official_confirmed,source_only_not_runtime,66739,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,official appraisal submission bundle / presentation example; source URL not retained in supplemental archive; source_only
Tainan City,Tainan City Government Land Administration Bureau,1140304_土地徵收補償市價查估實務分享.pdf,tainan_land_appraisal_practice_training_2025.pdf,https://w3fs.tainan.gov.tw/Download.ashx?u=LzAwMS9VcGxvYWQvMjA3L3JlbGZpbGUvMjI0ODYvODcyMzE2OS83NjI0NTAxNy00NTU3LTRkMDAtYWQ5OS02NThkZWJkNjg4NjAucGRm&n=MTE0MDMwNF%2flnJ%2flnLDlvrXmlLboo5zlhJ%2fluILlg7nmn6XkvLDlr6bli5nliIbkuqsucGRm,OFFICIAL_MANUAL,downloaded,official_confirmed,source_only_not_runtime,24171935,application/pdf,official training material; source_only
Taoyuan City,Taoyuan City Government,影響地價個別因素評價基準明細表-八德區.pdf,taoyuan_bade_individual_factor_criteria_2023.pdf,https://law.tycg.gov.tw/Download.ashx?FileID=12328&id=GL000732&type=LAW,OFFICIAL_EVALUATION_CRITERIA,downloaded,official_confirmed,source_only_not_runtime,278357,application/octet-stream,official city law attachment; source_only; not runtime rule
Taoyuan City,Taoyuan City Government,影響地價個別因素評價基準明細表-大溪區.pdf,taoyuan_daxi_individual_factor_criteria_2023.pdf,https://law.tycg.gov.tw/Download.ashx?FileID=12321&id=GL000732&type=LAW,OFFICIAL_EVALUATION_CRITERIA,downloaded,official_confirmed,source_only_not_runtime,277737,application/octet-stream,official city law attachment; source_only; not runtime rule
Taoyuan City,Taoyuan City Government,影響地價個別因素評價基準明細表-大園區.pdf,taoyuan_dayuan_individual_factor_criteria_2023.pdf,https://law.tycg.gov.tw/Download.ashx?FileID=12327&id=GL000732&type=LAW,OFFICIAL_EVALUATION_CRITERIA,downloaded,official_confirmed,source_only_not_runtime,297455,application/octet-stream,official city law attachment; source_only; not runtime rule
Taoyuan City,Taoyuan City Government,影響地價個別因素評價基準明細表-復興區.pdf,taoyuan_fuxing_individual_factor_criteria_2023.pdf,https://law.tycg.gov.tw/Download.ashx?FileID=12323&id=GL000732&type=LAW,OFFICIAL_EVALUATION_CRITERIA,downloaded,official_confirmed,source_only_not_runtime,277648,application/octet-stream,official city law attachment; source_only; not runtime rule
Taoyuan City,Taoyuan City Government,桃園市政府公報112年第17期.pdf,taoyuan_gazette_2023_issue_17_regional_and_individual_factor_criteria.pdf,https://gazette.tycg.gov.tw/TYBulletin/Doc/11217.pdf?v=125132,OFFICIAL_EVALUATION_CRITERIA,downloaded,official_confirmed,source_only_not_runtime,1984265,application/pdf,official gazette containing 2023 criteria; source_only; extract only after manual review
Taoyuan City,Taoyuan City Government,影響地價個別因素評價基準明細表-觀音區.pdf,taoyuan_guanyin_individual_factor_criteria_2023.pdf,https://law.tycg.gov.tw/Download.ashx?FileID=12320&id=GL000732&type=LAW,OFFICIAL_EVALUATION_CRITERIA,downloaded,official_confirmed,source_only_not_runtime,234897,application/octet-stream,official city law attachment; source_only; not runtime rule
Taoyuan City,Taoyuan City Government,影響地價個別因素評價基準明細表-龜山區.pdf,taoyuan_guishan_individual_factor_criteria_2023.pdf,https://law.tycg.gov.tw/Download.ashx?FileID=12330&id=GL000732&type=LAW,OFFICIAL_EVALUATION_CRITERIA,downloaded,official_confirmed,source_only_not_runtime,282502,application/octet-stream,official city law attachment; source_only; not runtime rule
Taoyuan City,Taoyuan City Government,影響地價個別因素評價基準明細表-龍潭區.pdf,taoyuan_longtan_individual_factor_criteria_2023.pdf,https://law.tycg.gov.tw/Download.ashx?FileID=12322&id=GL000732&type=LAW,OFFICIAL_EVALUATION_CRITERIA,downloaded,official_confirmed,source_only_not_runtime,279200,application/octet-stream,official city law attachment; source_only; not runtime rule
Taoyuan City,Taoyuan City Government,影響地價個別因素評價基準明細表-蘆竹區.pdf,taoyuan_luzhu_individual_factor_criteria_2023.pdf,https://law.tycg.gov.tw/Download.ashx?FileID=12326&id=GL000732&type=LAW,OFFICIAL_EVALUATION_CRITERIA,downloaded,official_confirmed,source_only_not_runtime,291555,application/octet-stream,official city law attachment; source_only; not runtime rule
Taoyuan City,Taoyuan City Government,影響地價個別因素評價基準明細表-平鎮區.pdf,taoyuan_pingzhen_individual_factor_criteria_2023.pdf,https://law.tycg.gov.tw/Download.ashx?FileID=12329&id=GL000732&type=LAW,OFFICIAL_EVALUATION_CRITERIA,downloaded,official_confirmed,source_only_not_runtime,277713,application/octet-stream,official city law attachment; source_only; not runtime rule
Taoyuan City,Taoyuan City Government,影響地價個別因素評價基準明細表-桃園區.pdf,taoyuan_taoyuan_individual_factor_criteria_2023.pdf,https://law.tycg.gov.tw/Download.ashx?FileID=12318&id=GL000732&type=LAW,OFFICIAL_EVALUATION_CRITERIA,downloaded,official_confirmed,source_only_not_runtime,276210,application/octet-stream,official city law attachment; source_only; not runtime rule
Taoyuan City,Taoyuan City Government,影響地價個別因素評價基準明細表-新屋區.pdf,taoyuan_xinwu_individual_factor_criteria_2023.pdf,https://law.tycg.gov.tw/Download.ashx?FileID=12325&id=GL000732&type=LAW,OFFICIAL_EVALUATION_CRITERIA,downloaded,official_confirmed,source_only_not_runtime,277766,application/octet-stream,official city law attachment; source_only; not runtime rule
Taoyuan City,Taoyuan City Government,影響地價個別因素評價基準明細表-楊梅區.pdf,taoyuan_yangmei_individual_factor_criteria_2023.pdf,https://law.tycg.gov.tw/Download.ashx?FileID=12324&id=GL000732&type=LAW,OFFICIAL_EVALUATION_CRITERIA,downloaded,official_confirmed,source_only_not_runtime,277657,application/octet-stream,official city law attachment; source_only; not runtime rule
Taoyuan City,Taoyuan City Government,影響地價個別因素評價基準明細表-中壢區.pdf,taoyuan_zhongli_individual_factor_criteria_2023.pdf,https://law.tycg.gov.tw/Download.ashx?FileID=12319&id=GL000732&type=LAW,OFFICIAL_EVALUATION_CRITERIA,downloaded,official_confirmed,source_only_not_runtime,279273,application/octet-stream,official city law attachment; source_only; not runtime rule
Yunlin County,Yunlin County Government Land Administration Department,宗地個別因素清冊等.ods,yunlin_parcel_individual_factor_register.ods,https://ws.yunlin.gov.tw/Download.ashx?n=5a6X5Zyw5YCL5Yil5Zug57Sg5riF5YaK562JLm9kcw%3D%3D&u=LzAwMS9VcGxvYWQvNDExL3JlbGZpbGUvMTE1MzAvMjY2NDI2LzM4MDllYTg1LTA4MTQtNGFjNC1iYzNmLTJiZWJhODFkYzI4OC5vZHM%3D,OFFICIAL_FORM_TEMPLATE,downloaded,official_confirmed,source_only_not_runtime,56721,application/vnd.oasis.opendocument.spreadsheet,official downloadable form; source_only; manually supplied supplemental download
Yunlin County,Yunlin County Government Land Administration Department,宗地個別因素清冊等.xls,yunlin_parcel_individual_factor_register.xls,https://land.yunlin.gov.tw/News_Content.aspx?n=2447&s=266426,OFFICIAL_FORM_TEMPLATE,downloaded,official_confirmed,source_only_not_runtime,74752,application/vnd.ms-excel,official downloadable form alternative XLS format; source_only
Yunlin County,Yunlin County Government Land Administration Department,宗地個別因素清冊等填寫說明.pdf,yunlin_parcel_individual_factor_register_instructions.pdf,https://ws.yunlin.gov.tw/Download.ashx?n=5a6X5Zyw5YCL5Yil5Zug57Sg5riF5YaK562J5aGr5a%2Br6Kqq5piOLnBkZg%3D%3D&u=LzAwMS9VcGxvYWQvNDExL1JlbEZpbGUvMTE1MzAvMjY2NDI2L%2BWul%2BWcsOWAi%2BWIpeWboOe0oOa4heWGiuetieWhq%2BWvq%2BiqquaYji5wZGY%3D,OFFICIAL_MANUAL,downloaded,official_confirmed,source_only_not_runtime,211593,application/pdf,official form instructions; source_only; manually supplied supplemental download
Taipei City,Taipei City Government / commissioned appraiser,c9b35852-e140-4145-a926-c35a5f02f876.pdf,taipei_shilin_shuangxi_land_expropriation_market_value_appraisal_report_2023.pdf,,OFFICIAL_FILLED_EXAMPLE,user_provided_verified,official_hosted_content_verified,source_only_not_runtime,2720146,application/pdf,Official-government-hosted filled land expropriation market-value appraisal report; contains completed appraisal forms and case values.
New Taipei City,Ministry of the Interior; hosted by New Taipei City Government,4515-u(1).pdf,new_taipei_land_appraisal_qa_excerpt_from_moi_manual_2013.pdf,,OFFICIAL_MANUAL,user_provided_verified,official_hosted_content_verified,source_only_not_runtime,178996,application/pdf,Q&A excerpt from the 2013 MOI Land Expropriation Compensation Market Value Appraisal Operations Manual.
Taipei City,Taipei City Government,#U81fa#U5317#U5e02#U653f#U5e9c#U8fa6#U7406#U571f#U5730#U5fb5#U6536#U88dc#U511f#U5e02#U50f9#U67e5#U4f30#U4f5c#U696d#U8cbb#U57fa#U6e96-20250825-#U6cd5#U898f#U6240#U6709#U689d#U6587.pdf,taipei_land_appraisal_operation_fee_standard_2025.pdf,,OFFICIAL_REGULATION,user_provided_verified,official_hosted_content_verified,source_only_not_runtime,61940,application/pdf,Taipei City Government fee standard for land expropriation compensation market-value appraisal operations; effective 2025-08-25.
Taipei City,Taipei City Government,10107.pdf,taipei_land_law_monthly_2012_07_appraisal_forms_and_criteria_notice.pdf,,OFFICIAL_REGULATION,user_provided_verified,official_hosted_content_verified,source_only_not_runtime,23851438,application/pdf,Taipei land-law monthly bulletin containing the MOI notice on land appraisal form formats and regional/individual factor criteria.
Taipei City,Taipei City Government,#U81fa#U5317#U5e02#U5730#U50f9#U53ca#U6a19#U6e96#U5730#U50f9#U8a55#U8b70#U59d4#U54e1#U6703#U7b2c103#U6b21#U6703#U8b70#U7d00#U9304.pdf,taipei_land_value_review_committee_meeting_103_2024.pdf,,OFFICIAL_CASE_ATTACHMENT,user_provided_verified,official_hosted_content_verified,source_only_not_runtime,480530,application/pdf,"Taipei Land Value and Standard Land Value Review Committee 103rd meeting record, including real land expropriation appraisal/review cases."
